类:Class,Java类
服务编排:ServiceOrchestration,Java服务编排
服务网格:ServiceMesh,Java服务网格
Istio:Istio,JavaIstio
Linkerd:Linkerd,JavaLinkerd
容器化:Containerization,Java容器化
Docker:Docker,JavaDocker
Kubernetes:Kubernetes,JavaKubernetes
云原生:CloudNative,Java云原生
Serverless:Serverless,JavaServerless
函数计算:FunctionCompute,Java函数计算
安全:Security,Java安全
认证:Authentication,Java认证
授权:Authorization,Java授权
OAuth:OAuth,JavaOAuth
JWT:JWT,JavaJWT
加密:Encryption,Java加密
解密:Decryption,Java解密
哈希:Hash,Java哈希
MD5:MD5,JavaMD5
SHA:SHA,JavaSHA
RSA:RSA,JavaRSA
AES:AES,JavaAES
性能:Performance,Java性能
基准测试:Benchmarking,Java基准测试
JMH:JMH,JavaJMH
压力测试:StressTesting,Java压力测试
负载测试:LoadTesting,Java负载测试
性能调优:PerformanceTuning,Java性能调优
内存管理:MemoryManagement,Java内存管理
CPU使用率:CPUUsage,JavaCPU使用率
磁盘I/O:DiskIO,Java磁盘I/O
网络I/O:NetworkIO,Java网络I/O
监控:Monitoring,Java监控
Prometheus:Prometheus,JavaPrometheus
Grafana:Grafana,JavaGrafana
ELK栈:ELKStack,JavaELK栈
Elasticsearch:Elasticsearch,JavaElasticsearch
Logstash:Logstash,JavaLogstash
Kibana:Kibana,JavaKibana
告警:Alerting,Java告警
分布式追踪:DistributedTracing,Java分布式追踪
Zipkin:Zipkin,JavaZipkin
Jaeger:Jaeger,JavaJaeger
OpenTelemetry:OpenTelemetry,JavaOpenTelemetry
代码生成:CodeGeneration,Java代码生成
模板引擎:TemplateEngine,Java模板引擎
Freemarker:Freemarker,JavaFreemarker
Thymeleaf:Thymeleaf,JavaThymeleaf
Velocity:Velocity,JavaVelocity
文档:Documentation,Java文档
Javadoc:Javadoc,JavaJavadoc
API文档:APIDocumentation,JavaAPI文档
Swagger:Swagger,JavaSwagger
Redoc:Redoc,JavaRedoc
RapiDoc:RapiDoc,JavaRapiDoc
版本控制:VersionControl,Java版本控制
Git:Git,JavaGit
SVN:SVN,JavaSVN
代码仓库:CodeRepository,Java代码仓库
GitHub:GitHub,JavaGitHub
GitLab:GitLab,JavaGitLab
Bitbucket:Bitbucket,JavaBitbucket
持续部署:ContinuousDeployment,Java持续部署
CI/CD:CI/CD,JavaCI/CD
DevOps:DevOps,JavaDevOps
容器编排:ContainerOrchestration,Java容器编排
服务发现:ServiceDiscovery,Java服务发现
配置管理:ConfigurationManagement,Java配置管理
Ansible:Ansible,JavaAnsible
Puppet:Puppet,JavaPuppet
Chef:Chef,JavaChef
SaltStack:SaltStack,JavaSaltStack
Terraform:Terraform,JavaTerraform
基础设施即代码:IaC,JavaIaC
云服务:CloudService,Java云服务
AWS:AWS,JavaAWS
Azure:Azure,JavaAzure
GoogleCloud:GoogleCloud,JavaGoogleCloud
阿里云:AlibabaCloud,Java阿里云
腾讯云:TencentCloud,Java腾讯云
华为云:HuaweiCloud,Java华为云
云计算:CloudComputing,Java云计算
边缘计算:EdgeComputing,Java边缘计算
物联网:IoT,Java物联网
大数据:BigData,Java大数据
Hadoop:Hadoop,JavaHadoop
Spark:Spark,JavaSpark
Flink:Flink,JavaFlink
Kafka:Kafka,JavaKafka
HBase:HBase,JavaHBase
Cassandra:Cassandra,JavaCassandra
NoSQL:NoSQL,JavaNoSQL
MongoDB:MongoDB,JavaMongoDB
Couchbase:Couchbase,JavaCouchbase
Redis:Redis,JavaRedis
Neo4j:Neo4j,JavaNeo4j
图数据库:GraphDatabase,Java图数据库
搜索引擎:SearchEngine,Java搜索引擎
Elasticsearch:Elasticsearch,JavaElasticsearch
Solr:Solr,JavaSolr
机器学习:MachineLearning,Java机器学习
深度学习:DeepLearning,Java深度学习
TensorFlow:TensorFlow,JavaTensorFlow
PyTorch:PyTorch,JavaPyTorch
Keras:Keras,JavaKeras
数据挖掘:DataMining,Java数据挖掘
自然语言处理:NLP,Java自然语言处理
计算机视觉:ComputerVision,Java计算机视觉
OpenCV:OpenCV,JavaOpenCV
图像识别:ImageRecognition,Java图像识别
语音识别:SpeechRecognition,Java语音识别
推荐系统:RecommendationSystem,Java推荐系统
强化学习:ReinforcementLearning,Java强化学习
人工智能:AI,JavaAI
